Review,Varietal
"Wonderful juicy serious Barbera. Ultra clean and vibrant on the nose with tons of red fruit and subtle hibiscus fruit. The crunchy fruit on the palate just goes on and on. Very approachable despite the significant structure and I'm very intrigued to see what a couple of years in the cellar does to this little guy. Absolutely world class wine making here resulting in exceptional complexity achieved at this very reasonable price point.
",Barbera
"This is a juicy, big, bold wine that perfectly captures the essence of Barbera! It has a beautiful harmony of fruit, depth, and character that lingers on the palate. Vignetti Massa has quickly become one of my favorite Italian wine producers-- his expressions are unique and far from shy. If you're looking for something equally unique in a white wine, grab a bottle of one of his Timorassos!!
",Barbera
"Domaine les Pins is a family run estate spanning five generations of vignerons.  Their vineyards are exclusively planted with Cab Franc, and their dedication to the grape shows in this amazing bottle.  Fresh, easy drinking and super food friendly, this is an awesome everyday red to have on hand.
",Cabernet Franc
"My visit to Bourgueil earlier this year was a revelation.  And for those not in the know (because I really didn't know that much myself), Bourgueil is one of the lesser known Cabernet Franc appellations sitting on the north side of the Loire River just across from Chinon.  About 30 minutes west of Tours gets you to the village of Bourgeuil.  Farms traverse the landscape with a mixture of agriculture but grapes dominate the view.  I have long been a fan of Cabernet Franc.  I find it to be one of the more versatile reds for pairing with food and I love lower alcohol and medium-bodied textured wines which make Cab Franc a must mid-week drink for me.  Upon arriving at Domaine les Pins we met with vigneron Philippe Pitault-Landry.  A father-son venture now, these detail oriented farmers are making reds that smell like classic Cabernet but with Pinot-like texture.  We tasted the new releases and the 2015 ""Les Rochettes"" was out of the gate charming.  Full of brushy herbal notes of sage and wild thyme, ripe black cherries and flavors of olive tapenade, this is a sumptuous red that is weighty and yet light on its feet.  The vintage of 2015 is a huge success for them and for the region, offering a generosity of fruit that make the wines more inviting and immediately accessible.  We drifted through the single plot, Les Clos and the Vieilles Vignes as well and they were most impressive.  Alas, those wines are due a little later in the year along with some older wines from their cellar.  The Les Rochettes though is truly the red of the summer for me.  It's versatility will make it an easy foil for things like roast chicken, grilled pork chops and leg of lamb.  Lots of herbs and lots of veggies to go with those and you will become as enamored with Bourgueil as I am now.  This is a lot of wine from people who really believe in what they are doing and would easily be twice the price from a more famous region.
",Cabernet Franc
"The bouquet of this wine instantly brought me back to my childhood in Ontario, Canada, where,  every summer,  I'd pick wild strawberries and make preserves with my mom. Wonderful berry fruit from the warm 2015 vintage is present, along with purple flowers and a savory element not unlike  black olives. On the palate the fruit has plenty of juicy depth and character with mineral notes and tannins that balance, not overwhelm. I enjoyed this with shredded, leftover roasted chicken leg tossed in a simple spinach salad with fennel and shallots. It would be equally enjoyable with pork tenderloin or warm farro salad with roasted vegetables. This is a fantastic wine.
",Cabernet Franc
"Riper berry fruit thanks to the healthy 2015 vintage, but with plenty of traditional green notes of brush and savory olive, plus blue floral aromatics, this is classic Cabernet Franc that shows lift and earthiness without sacrificing superior drinkability. Domaine Les Pins is an easy intro to Bourgueil, and if you’re not interested in exploring Loire Valley appellations, ""Les Rochettes"" is a bright, delicious, unbelievably-priced addition to your summer red lineup.
",Cabernet Franc
"Les Pins is a small producer out of Bourgueil, in the Loire Valley, a small region you may never have heard of, but ought to pay attention to. It is the neighboring region to the famous Chinon.  I find the wines of Bourgueil to be a bit more pretty, less fleshy and more structured - and typically of greater value.  The ""Les Rochettes"" is no exception, perfumed with notes of violets, sage and blackberry which leads into a palate of tilled earth, red plums, raspberries and a thread of black pepper. This medium-bodied, lifted red pairs perfectly with pork loin, mushroom based dished, and even game meats.
",Cabernet Franc
"This gorgeous example of cab franc is the perfect introduction to this special grape. The varietal is so often neglected, although a darling of the serious nerds, it rubs so many people the wrong way. Here we have this incredible vibrant example of the special grape of the right bank in it's most approachable yet authentic expression.  Vibrant earthy red fruit and only the slightest hint of greenness followed by a lovely lifted medium body. Perfect red to have around as summer bbq season starts to heat up.
",Cabernet Franc
"A great and FRESH cabernet franc that is just as affordable as it is delicious. The herbal aromas and fresh fruit make this an easy go to for any oven roasted bird.
",Cabernet Franc
"This is a truly lovely bottle of wine, whether you are accustomed to Bourgueil, or just looking for a new value red wine. The Cabernet Franc in this wine is neither harsh nor green, but rather displays soft and succulent black berry fruit with a medium body and just a hint of black pepper spice. The wine is extremely well-balanced and quite accessible right off the bat. We owe a lot here to the character and quality of the vintage, but the elegance of the wine making also contributes to the overall harmony of the wine. Try one and see why we are all so excited about this offering!
",Cabernet Franc
"I’ve been drinking “Les Rochettes” for awhile.  It’s such a great representation of Bourgueil at a killer price, but this vintage is something special.  2015 is by now well known for its warmth and ripeness across France, and it has imparted “Les Rochettes” with structure and personality like never before.  The riper phenolics highlight flavors of violets, cranberry, stewed bell peppers and herbs while the tannins provide more grip and structure, giving the impression of a wine at a much higher price-point.   If you enjoy Cab Franc, this is one value wine not to pass up.
",Cabernet Franc
"The Les Pins ""Les Rochettes Bourgueil"" has already been one of my go to wines for interesting people in Cab Franc from Loire who may not be very familiar with this varietal from this area. However in the 2015 vintage this good wine has become spectacular especially for the price. The lushness of the vintage shows itself in a more dark and bing cherry characteristic and practically no bell pepper unlike previous vintages. Although there are still lovely notes of savory herb and a touch of spice the fruit really sings in this bottle. A somewhat chewy finish compliments the medium body and makes this a fantastic everyday food wine.
",Cabernet Franc
"This old favorite is back again just in time for the holidays!  Perfect as an aperitif, a bottle to toast with or something to open for friends and family who drop by, this little bottle of bubbles is sure to please everyone!  Fresh, zippy, lively and full of finesse, this is an inexpensive gem to pick up a few bottles of so you'll always be prepared.
",Cabernet Franc
"Reading over all of the reviews for this delightful bottle of bubbly I realize that I have nothing new to add except to ditto everything that has been said about it. Is it a fantastically fun summertime bottle resplendent with notes of strawberry and citrus and a tantalizing tart taste on the tongue? In a word, yes. Basically this is a perfect little bottle to toast success, friends, BBQ's, picnics, and Monday's with. Enjoy!
",Cabernet Franc
"Perfect summer sparkler! I've recently brought this to graduation parties for a great and inexpensive gift. This brut rose has hints of strawberry and cherry and a light but crisp finish. So refreshing and for $13, how can you beat that price?!
",Cabernet Franc
"Loire buyer Eric Story has been doing his best to provide us with relatively inexpensive bubblies and in this case, he has come through. This little winner has bright red fruits, zippy acidity and a touch of minerality. Bright and refreshing. An added bonus is the tiny, tiny bubbles. Tiny bubbles, in the wine, make me happy, make me feel fine. Thank you, Don Ho!
",Cabernet Franc
"Light strawberry and citrus notes sally from this charming Cremant. Leaning more towards the tart than the sweet side of its personality, this is a refreshing, straightforward, easy going bottle of bubbly. And speaking of bubbles, the texture of this rose is one of the wines appealing characteristics, with an abundant mousse that yet manages to be silken and filigreed. Happily, it is also available a price that makes it perfect to open for any old reason at all.
",Cabernet Franc
"This bubbly is just too good and too cheap to say no to. Bright, lively and refreshing. This is a perfect sparkling to be had at anytime of the day and for any occasion. You may want to take two...
",Cabernet Franc
"A holiday pairing that sparkles, this favorite is back in stock just in time for celebrating - and works surprisingly well with the main event. Softly herbal with notes of strawberry plus delicate, teeny but exuberant bubbles, this Cabernet Franc Crémant is festive, and delicious with turkey: Deligeroy is glamour that the pilgrims only dreamed of, and still drinks beautifully year round.
",Cabernet Franc
"Tiny bubbles make me happy. Very happy. They can make you happy too! This $13 Cremant De Loire Rosé is just the ticket to add a little zip to your summer. Remarkably fresh and inviting, this sparkling wine offers sweet cherry, strawberry, and tart raspberry. The minerality, acidity, and structure of this wine is worth so much more than the price tag suggests. Give it a try today, tomorrow, and perhaps every weekend until labor day...
",Cabernet Franc
"No one's going to burst your bubble here. If you have Champagne taste on a shoestring budget, this might be the perfect antidote. With a killer price point, fun flavors of strawberry-orange, and a tart lively finish this bottle is an amazing value and super versatile. This would be the perfect choice to accompany a bucket of fried chicken, bring to a pancake brunch or just sip while binge watching Orange is the New Black.
",Cabernet Franc
"How can you not love a bottle of Bubbles from the Loire Valley that only costs $13 and tastes this good?!?!?  Loaded with tons of fresh berry fruit and copious amounts of tiny, delicate bubbles.
",Cabernet Franc
"This is one of my all time favorite Bubbly Rose and a fraction of the price of Champagne.I love the new cuvee of my Deligeroy Rose. Its much softer and more feminine that the last cuvee which was a touch herbaceous. This Cab Franc based blend is aimed to please this holiday season! Its the perfect party wine that will please a crowd instantly. Subtle fruit with balanced acid and a clean, dry finish! You wont believe your wallet! It has subtle red berry and sweet herb undertones with its racy acid and minerality keep it refreshing but still full on the palate. Perfect for any gathering or romantic date, or just sip and savor alone! Its that good
",Cabernet Franc
"This is long and fine with red cherry fruit and a persistant limestone laced finish.  There is an amazing amount of elegance and restraint showing here for only 13 bucks.
",Cabernet Franc
"Without a doubt one of my favorites sparkling rosé wines. Full of citron, wild strawberries, cherries and FUN! I recommend it for an aperitif on Valentine's day, or with the heart shaped box of chocolate! What?! It is not Valentines just yet? Just pretend, your significant other will love it!
",Cabernet Franc
"Rose with dark fruit and a very fine bubble structure for less than 15 dollars if just fine in my book. A glass of this on a sunny day while on a deck with a view would make this wine sing.
",Cabernet Franc
"Bright,fresh, clean and juicy, this is the perfect sparkler for parties or just plain enjoyment at any time. The Deligeroy Cremant Rose has a beautiful dark pink color, nice subtle berry flavors and a dry finish. All of this for a great price.
",Cabernet Franc
"This is well-balanced in the mouth and enhanced by a fresh but subtle finish. It also has tiny little bubbles, which always makes me happy! I love Cabernet Franc for sparkling wine, it has some great body and lovely fruit. For the price, buy a case!
",Cabernet Franc
"This is a perfect New Year's Eve Rose. On the nose bright cherry and strawberry aromas that carry through on the palate. The bright fresh red fruit flavors are surrounded by a more refined mouth feel. The price makes it affordable for a party.
",Cabernet Franc
"Party bubbles.  A touch darker than you'd expect.  Dark fruits fine bubbles and a crisp finish.
",Cabernet Franc
"This is the ultimate party and wedding Cremant rose of the year. It's easy on the palate, fun to drink and a great value. Nicely balanced acidity with a hint of minerality. There was even a strawberry flavor dancing in the back of my tongue...What's not to like?
",Cabernet Franc
"These Druet wines offer so much value and character for the price. The 2002 was in a perfect place in terms of age, although by no means near the end of the road. Nose of tart purple fruit, earthy pepper, soft herbaceous mint, and freshly tilled soil. The palate is surprisingly fruity despite the nose and filled with juice acid and a long silky tannin. Fabulously priced and wonderfully versatile. Just what I need.
",Cabernet Franc
